channel_group,channel_group_token,band,band_token,feature_scope,test_family,top_state,top_state_token,top_state_target,top_state_delta_r2,top_state_p,top_state_q,top_term,effect_sign,n_obs,significant_states,n_significant_states,state_selectivity_delta_r2,global_target,global_delta_r2,global_q,interpretation
PL,pl,theta,theta,whole_slice_norm,behavior_all,Wake,wake,state_wake_pl_theta_whole_slice_norm,0.050707833734567,0.12687312687312688,0.4827172827172827,rule_reversal_frequency,negative,526,,0,0.027470392013312694,lfp_pl_theta_whole_slice_norm,0.022842076522968546,0.6449364588899472,no_clear_state_specific_modulation
ILA,ila,theta,theta,whole_slice_norm,learning_stage_block,Working,working,state_working_ila_theta_whole_slice_norm,0.05544221965875651,0.13586413586413587,0.4827172827172827,perf_learned,negative,204,,0,0.03651769240452296,lfp_ila_theta_whole_slice_norm,0.009124580514318192,0.6922878446057255,no_clear_state_specific_modulation
PL,pl,theta,theta,whole_slice_norm,learning_stage_block,REM,rem,state_rem_pl_theta_whole_slice_norm,0.034283568476800586,0.13986013986013987,0.4827172827172827,perf_intermediate,negative,350,,0,0.016320317557078745,lfp_pl_theta_whole_slice_norm,0.0073402062846947835,0.6597657661487448,no_clear_state_specific_modulation
ACAd,acad,gamma,gamma,whole_slice_norm,learning_stage_block,NREM,nrem,state_nrem_acad_gamma_whole_slice_norm,0.03416303569388601,0.14885114885114886,0.4827172827172827,perf_intermediate,negative,468,,0,0.00741964967480202,lfp_acad_gamma_whole_slice_norm,0.0017845086680620126,0.9508440277671046,no_clear_state_specific_modulation
PL,pl,delta,delta,whole_slice_norm,bias_block,Working,working,state_working_pl_delta_whole_slice_norm,0.03400813575170458,0.14885114885114886,0.4827172827172827,bias_left,positive,204,,0,0.02985097356723332,lfp_pl_delta_whole_slice_norm,0.004319816704206447,0.723666577325114,no_clear_state_specific_modulation
MOs,mos,theta,theta,whole_slice_norm,bias_block,REM,rem,state_rem_mos_theta_whole_slice_norm,0.021170112316378886,0.15784215784215785,0.4950893262581575,bias_left,negative,350,,0,0.011463691140893184,lfp_mos_theta_whole_slice_norm,0.002108361882197096,0.845037315625551,no_clear_state_specific_modulation
ILA,ila,gamma,gamma,whole_slice_norm,rule_block,Working,working,state_working_ila_gamma_whole_slice_norm,0.01935895519721842,0.17782217782217782,0.5268805268805269,rule_reversal_frequency,negative,204,,0,-0.006086270055933651,lfp_ila_gamma_whole_slice_norm,0.00015039509393799388,0.9466395673292225,no_clear_state_specific_modulation
ILA,ila,gamma,gamma,whole_slice_norm,learning_stage_block,REM,rem,state_rem_ila_gamma_whole_slice_norm,0.03847169800774308,0.22377622377622378,0.6034415023179068,perf_learned,positive,350,,0,0.018981377400742572,lfp_ila_gamma_whole_slice_norm,0.01472459065348053,0.6922878446057255,no_clear_state_specific_modulation
PL,pl,delta,delta,whole_slice_norm,rule_block,Working,working,state_working_pl_delta_whole_slice_norm,0.013767852374776512,0.22977022977022976,0.6080517420723607,rule_reversal_frequency,negative,204,,0,0.008912413384431495,lfp_pl_delta_whole_slice_norm,0.00024387776614209766,0.906490769504468,no_clear_state_specific_modulation
MOs,mos,theta,theta,whole_slice_norm,behavior_all,REM,rem,state_rem_mos_theta_whole_slice_norm,0.0439391176198769,0.23876123876123875,0.6080517420723607,perf_learned,positive,350,,0,-0.016386216005582765,lfp_mos_theta_whole_slice_norm,0.024380854043787092,0.6449364588899472,no_clear_state_specific_modulation
PL,pl,delta,delta,whole_slice_norm,behavior_all,Working,working,state_working_pl_delta_whole_slice_norm,0.06154263257860848,0.23976023976023977,0.6080517420723607,perf_learned,negative,204,,0,0.034517356634693575,lfp_pl_delta_whole_slice_norm,0.005333628696166159,0.9423619858402467,no_clear_state_specific_modulation
PL,pl,theta,theta,whole_slice_norm,bias_block,NREM,nrem,state_nrem_pl_theta_whole_slice_norm,0.010431002015811042,0.3156843156843157,0.6386890420503866,bias_left,positive,468,,0,-0.01282951474247529,lfp_pl_theta_whole_slice_norm,0.00950411281898167,0.6386890420503866,no_clear_state_specific_modulation
PL,pl,gamma,gamma,whole_slice_norm,learning_stage_block,Wake,wake,state_wake_pl_gamma_whole_slice_norm,0.030877117633859696,0.3166833166833167,0.6386890420503866,perf_intermediate,negative,526,,0,0.009921296887831943,lfp_pl_gamma_whole_slice_norm,0.014011400905831861,0.7819453273998729,no_clear_state_specific_modulation
MOs,mos,gamma,gamma,whole_slice_norm,behavior_all,REM,rem,state_rem_mos_gamma_whole_slice_norm,0.06276136066726634,0.4565434565434565,0.693483731458415,rule_reversal_frequency,negative,350,,0,0.018324632346074843,lfp_mos_gamma_whole_slice_norm,0.023621828483772145,0.9401951760030363,no_clear_state_specific_modulation
MOs,mos,theta,theta,whole_slice_norm,rule_block,NREM,nrem,state_nrem_mos_theta_whole_slice_norm,0.012512848406086463,0.47652347652347654,0.7147852147852147,rule_reversal_frequency,positive,468,,0,0.007048784251393547,lfp_mos_theta_whole_slice_norm,0.0014292603325807285,0.838558426498125,no_clear_state_specific_modulation
MOs,mos,gamma,gamma,whole_slice_norm,bias_block,Wake,wake,state_wake_mos_gamma_whole_slice_norm,0.013935273457364339,0.5084915084915085,0.7351684460118195,bias_left,negative,526,,0,0.002571899112924103,lfp_mos_gamma_whole_slice_norm,0.00879251379743784,0.8215135118688419,no_clear_state_specific_modulation
MOs,mos,gamma,gamma,whole_slice_norm,rule_block,Wake,wake,state_wake_mos_gamma_whole_slice_norm,0.009736230149421932,0.5184815184815185,0.7451231403327211,rule_reversal_frequency,negative,526,,0,0.0025017605673265386,lfp_mos_gamma_whole_slice_norm,0.004781625205557027,0.8215135118688419,no_clear_state_specific_modulation
MOs,mos,gamma,gamma,whole_slice_norm,learning_stage_block,REM,rem,state_rem_mos_gamma_whole_slice_norm,0.013193978289757102,0.6513486513486514,0.8181509212437048,perf_learned,positive,350,,0,0.006576349417161564,lfp_mos_gamma_whole_slice_norm,0.0022008560688684398,0.9466395673292225,no_clear_state_specific_modulation
ACAd,acad,gamma,gamma,whole_slice_norm,rule_block,NREM,nrem,state_nrem_acad_gamma_whole_slice_norm,0.0024889452200185236,0.6823176823176823,0.8270517361426452,rule_reversal_frequency,negative,468,,0,0.0007441753979645638,lfp_acad_gamma_whole_slice_norm,3.9070965351939435e-09,1.0,no_clear_state_specific_modulation
