target,test_family,n_obs,r2_base,r2_full,delta_r2,permutation_p,fdr_q,top_term,top_beta,effect_sign,low_confidence,base_terms,test_terms,analysis_family,target_class,natural_state,natural_state_token,channel_group,channel_group_token,band,band_token,feature_scope
state_rem_acad_theta_whole_slice_norm,bias_block,350,0.2589168983536073,0.2802788453763386,0.02136194702273131,0.1258741258741259,0.4827172827172827,bias_left,-0.08638873948707151,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""bias_left"", ""bias_right""]",lfp_behavior_modulation,state_lfp,REM,rem,ACAd,acad,theta,theta,whole_slice_norm
lfp_mos_theta_whole_slice_norm,learning_stage_block,526,0.7591686810642104,0.7776294246197666,0.01846074355555616,0.12687312687312688,0.4827172827172827,perf_learned,0.07902030261370058,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""perf_intermediate"", ""perf_learned""]",lfp_behavior_modulation,global_lfp,global,global,MOs,mos,theta,theta,whole_slice_norm
state_rem_mos_theta_whole_slice_norm,learning_stage_block,350,0.3590474229950755,0.38627276501797725,0.027225342022901722,0.12987012987012986,0.4827172827172827,perf_learned,0.12346339531419467,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""perf_intermediate"", ""perf_learned""]",lfp_behavior_modulation,state_lfp,REM,rem,MOs,mos,theta,theta,whole_slice_norm
lfp_acad_theta_whole_slice_norm,rule_block,526,0.3647358369641662,0.3916211507035514,0.026885313739385186,0.13186813186813187,0.4827172827172827,rule_reversal_frequency,-0.08632005228578422,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""rule_frequency"", ""rule_reversal_frequency""]",lfp_behavior_modulation,global_lfp,global,global,ACAd,acad,theta,theta,whole_slice_norm
state_working_ila_theta_whole_slice_norm,learning_stage_block,204,0.22039631363948964,0.27583853329824615,0.05544221965875651,0.13586413586413587,0.4827172827172827,perf_learned,-0.12565911321277137,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""perf_intermediate"", ""perf_learned""]",lfp_behavior_modulation,state_lfp,Working,working,ILA,ila,theta,theta,whole_slice_norm
state_rem_pl_theta_whole_slice_norm,learning_stage_block,350,0.1484507748986723,0.1827343433754729,0.034283568476800586,0.13986013986013987,0.4827172827172827,perf_intermediate,-0.2440579937374906,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""perf_intermediate"", ""perf_learned""]",lfp_behavior_modulation,state_lfp,REM,rem,PL,pl,theta,theta,whole_slice_norm
state_nrem_acad_gamma_whole_slice_norm,learning_stage_block,468,0.06471262595885374,0.09887566165273975,0.03416303569388601,0.14885114885114886,0.4827172827172827,perf_intermediate,-0.10181954808363848,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""perf_intermediate"", ""perf_learned""]",lfp_behavior_modulation,state_lfp,NREM,nrem,ACAd,acad,gamma,gamma,whole_slice_norm
state_nrem_pl_gamma_whole_slice_norm,bias_block,468,0.036335310452570324,0.0734412268684086,0.03710591641583827,0.15084915084915085,0.4827172827172827,bias_left,-0.282170372602125,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""bias_left"", ""bias_right""]",lfp_behavior_modulation,state_lfp,NREM,nrem,PL,pl,gamma,gamma,whole_slice_norm
state_rem_pl_delta_whole_slice_norm,learning_stage_block,350,0.17608270333653586,0.19854500636139227,0.02246230302485641,0.17482517482517482,0.5268805268805269,perf_intermediate,-0.46062628207242284,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""perf_intermediate"", ""perf_learned""]",lfp_behavior_modulation,state_lfp,REM,rem,PL,pl,delta,delta,whole_slice_norm
state_working_ila_gamma_whole_slice_norm,rule_block,204,0.215465962261169,0.2348249174583874,0.01935895519721842,0.17782217782217782,0.5268805268805269,rule_reversal_frequency,-0.07058609876184047,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""rule_frequency"", ""rule_reversal_frequency""]",lfp_behavior_modulation,state_lfp,Working,working,ILA,ila,gamma,gamma,whole_slice_norm
