target,test_family,behavior_variable,behavior_label,n_obs,spearman_r,effect_size,permutation_p,fdr_q,effect_sign,analysis_family,target_class,natural_state,natural_state_token,channel_group,channel_group_token,band,band_token,feature_scope
state_nrem_mos_theta_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,468,0.14534188232121684,0.14534188232121684,0.0016183836559128199,0.006068938709673075,positive,direct_lfp_continuous_behavior_association,state_lfp,NREM,nrem,MOs,mos,theta,theta,whole_slice_norm
state_working_acad_theta_whole_slice_norm,bias_score_spearman,bias_score,Bias score,204,-0.21506805163668852,0.21506805163668852,0.00200735928141164,0.007299488296042327,negative,direct_lfp_continuous_behavior_association,state_lfp,Working,working,ACAd,acad,theta,theta,whole_slice_norm
state_working_acad_theta_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,204,-0.2104087621783309,0.2104087621783309,0.002522240764659267,0.008902026228209178,negative,direct_lfp_continuous_behavior_association,state_lfp,Working,working,ACAd,acad,theta,theta,whole_slice_norm
state_nrem_ila_theta_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,468,-0.13760477248246145,0.13760477248246145,0.002853557618235675,0.00978362611966517,negative,direct_lfp_continuous_behavior_association,state_lfp,NREM,nrem,ILA,ila,theta,theta,whole_slice_norm
state_wake_ila_theta_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,526,-0.12843907380486236,0.12843907380486236,0.00316815107969791,0.010560503598993033,negative,direct_lfp_continuous_behavior_association,state_lfp,Wake,wake,ILA,ila,theta,theta,whole_slice_norm
lfp_ila_theta_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,526,-0.12477167636744638,0.12477167636744638,0.00415695320292413,0.013482010387862045,negative,direct_lfp_continuous_behavior_association,global_lfp,global,global,ILA,ila,theta,theta,whole_slice_norm
state_nrem_acad_theta_whole_slice_norm,bias_score_spearman,bias_score,Bias score,468,-0.1317406998884051,0.1317406998884051,0.004306151555366242,0.0135983733327355,negative,direct_lfp_continuous_behavior_association,state_lfp,NREM,nrem,ACAd,acad,theta,theta,whole_slice_norm
state_rem_pl_theta_whole_slice_norm,bias_score_spearman,bias_score,Bias score,350,0.15111884121761388,0.15111884121761388,0.00460628953340265,0.014173198564315844,positive,direct_lfp_continuous_behavior_association,state_lfp,REM,rem,PL,pl,theta,theta,whole_slice_norm
state_working_pl_theta_whole_slice_norm,bias_score_spearman,bias_score,Bias score,204,-0.19295904461948196,0.19295904461948196,0.005690435749253277,0.01707130724775983,negative,direct_lfp_continuous_behavior_association,state_lfp,Working,working,PL,pl,theta,theta,whole_slice_norm
state_rem_mos_theta_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,350,0.1466942282947443,0.1466942282947443,0.005969186757996019,0.01747079051120786,positive,direct_lfp_continuous_behavior_association,state_lfp,REM,rem,MOs,mos,theta,theta,whole_slice_norm
